idx,column,group,n_unique_in_sample,in_test,example_value
0,base_number_of_dependent_farmers,base_attribute,10,True,2
1,base_station_installation_age_years,base_attribute,49,True,21.0
2,cost_total_energy_consumed_bdt,financial,15,True,0.0
3,cost_commercial_maintenance_bdt,financial,32,True,0.0
4,cost_commercial_maintenance_3m_bdt,financial,43,True,0.0
5,cost_commercial_repair_bdt,financial,3,True,0.0
6,cost_commercial_repair_3m_bdt,financial,3,True,0.0
7,cost_effective_repair_bdt,financial,1,True,0.0
8,cost_effective_repair_3m_bdt,financial,1,True,0.0
9,cost_total_repair_bdt,financial,2,True,0.0
10,cost_commercial_parts_bdt,financial,31,True,0.0
11,cost_commercial_parts_3m_bdt,financial,42,True,0.0
12,cost_effective_parts_bdt,financial,17,True,0.0
13,cost_effective_parts_3m_bdt,financial,19,True,0.0
14,cost_total_parts_bdt,financial,37,True,0.0
15,cost_effective_maintenance_bdt,financial,17,True,0.0
16,cost_effective_maintenance_3m_bdt,financial,19,True,0.0
17,cost_total_maintenance_bdt,financial,38,True,0.0
18,cost_subsidy_received_bdt,financial,2,True,0.0
19,has_historical_grid_failure_record,boolean_text_flag,2,True,"না, এই স্টেশনটির অতীতে জাতীয় বিদ্যুৎ গ্রিডের কোনো ব্যর্থতার রেকর্ড নেই এবং পাওয..."
20,has_active_grid_connection,boolean_text_flag,2,True,"না, এই নির্দিষ্ট সোলার পাম্পিং স্টেশনটি বর্তমানে জাতীয় বিদ্যুৎ গ্রিডের সাথে কোন..."
21,lacks_primary_solar_inverter,boolean_text_flag,2,True,"না, এই স্টেশনটিতে কোনো সক্রিয় প্রাইমারি সোলার ইনভার্টার সিস্টেম নেই বা এটি সম্প..."
22,has_primary_solar_inverter,boolean_text_flag,2,True,"হ্যাঁ, এই স্টেশনটিতে একটি সক্রিয় এবং কার্যকর প্রাইমারি সোলার ইনভার্টার সিস্টেম ..."
23,is_not_in_cyclone_prone_zone,boolean_text_flag,1,True,"হ্যাঁ, এই সোলার পাম্পিং স্টেশনটি অত্যন্ত ঝুঁকিপূর্ণ এবং ঘূর্ণিঝড় প্রবণ উপকূলীয়..."
24,lacks_battery_backup_system,boolean_text_flag,2,True,"হ্যাঁ, এই স্টেশনটিতে রাত্রে বা মেঘলা দিনে পাম্প চালানোর জন্য একটি শক্তিশালী ব্যা..."
